club,total_joueurs,age,buts,assists,contribution_offensive,xG,npxG,xAG,minutes_jouees,cartons_jaunes,cartons_rouges,courses_progressives,passes_progressives,buts_moins_xG,assists_moins_xAG
Liverpool,24,25.6,85,65,150,84.1,77.1,62.3,37521,67,3,826,1924,0.9,2.7
Arsenal,25,25.0,67,55,122,62.3,60.7,46.6,37393,70,6,852,1826,4.7,8.4
Manchester City,30,24.9,71,51,122,69.8,66.3,55.0,37589,59,2,1146,1944,1.2,-4.0
Newcastle Utd,24,26.6,66,50,116,65.0,60.4,46.5,37557,68,1,759,1595,1.0,3.5
Brentford,28,24.0,65,44,109,60.7,55.9,42.9,37570,62,1,598,1356,4.3,1.1
Chelsea,29,22.4,61,47,108,69.4,65.4,53.5,37564,101,2,861,1595,-8.4,-6.5
Tottenham,31,23.9,61,47,108,59.9,56.8,45.0,37619,72,1,840,1593,1.1,2.0
Brighton,32,24.3,64,41,105,59.5,54.0,40.5,37557,78,3,816,1539,4.5,0.5
Aston Villa,28,25.8,56,45,101,57.6,52.7,42.0,37503,76,4,720,1344,-1.6,3.0
Nott'ham Forest,23,25.6,57,42,99,46.7,44.3,33.8,37599,90,2,633,1125,10.3,8.2
Bournemouth,29,24.1,57,41,98,65.4,59.8,44.1,37521,97,3,754,1489,-8.4,-3.1
Fulham,26,26.7,53,44,97,49.9,46.7,37.7,37585,80,2,786,1558,3.1,6.3
Wolves,32,25.7,53,42,95,44.1,44.1,35.3,37598,79,2,607,1185,8.9,6.7
Crystal Palace,29,25.4,49,38,87,61.5,58.3,46.9,37545,80,4,510,1158,-12.5,-8.9
West Ham,27,26.6,43,29,72,48.2,45.8,34.2,37558,82,3,632,1222,-5.2,-5.2
Manchester Utd,31,24.3,42,29,71,53.6,50.5,39.8,37479,86,3,697,1448,-11.6,-10.8
Everton,26,25.8,39,27,66,42.7,41.2,32.8,37594,82,2,486,1041,-3.7,-5.8
Ipswich Town,32,25.6,35,26,61,35.0,33.5,24.2,37420,93,5,513,935,0.0,1.8
Leicester City,32,24.7,33,25,58,32.9,30.5,25.2,37620,87,0,576,1082,0.1,-0.2
Southampton,36,24.8,25,16,41,33.3,31.5,25.2,37538,89,3,640,1127,-8.3,-9.2
