nom,nationalite,poste,club,age,annee_naissance,matchs_joues,matchs_titulaire,minutes_jouees,buts,assists,buts_hors_penalty,penalties_marques,xG,npxG,xAG,npxG_plus_xAG,courses_progressives,passes_progressives,receptions_progressives,cartons_jaunes,cartons_rouges,buts_per_90,assists_per_90,buts_hors_penalty_per_90,xG_per_90,xAG_per_90,npxG_per_90,contribution_per_90,npxG_plus_xAG_per_90,contribution_offensive,G_minus_xG,A_minus_xAG,minutes_par_match,pct_titulaire,score_impact
Mohamed Salah,eg EGY,FW,Liverpool,32,1992,38,38,3371,29,18,20,9,25.2,18.2,14.2,32.4,155,144,488,1,0,0.77,0.48,0.53,0.67,0.38,0.49,1.25,0.87,47,3.8,3.8,88.7,100.0,114.9
Alexander Isak,se SWE,FW,Newcastle Utd,24,1999,34,34,2756,23,6,19,4,20.3,17.2,4.3,21.6,83,88,217,1,0,0.75,0.2,0.62,0.66,0.14,0.56,0.95,0.7,29,2.7,1.7,81.1,100.0,72.1
Bryan Mbeumo,cm CMR,FW,Brentford,24,1999,38,38,3414,20,7,15,5,12.3,7.5,8.3,15.9,130,141,351,3,0,0.53,0.18,0.4,0.32,0.22,0.2,0.71,0.42,27,7.7,-1.3,89.8,100.0,77.6
Erling Haaland,no NOR,FW,Manchester City,24,2000,31,31,2736,22,3,19,3,22.0,18.8,3.0,21.8,24,20,124,2,0,0.72,0.1,0.62,0.72,0.1,0.62,0.82,0.72,25,0.0,0.0,88.3,100.0,52.9
Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,38,31,2598,16,8,14,2,15.3,13.8,3.3,17.1,55,31,165,2,0,0.55,0.28,0.48,0.53,0.12,0.48,0.83,0.59,24,0.7,4.7,68.4,81.6,52.6
Cole Palmer,eng ENG,"MF,FW",Chelsea,22,2002,37,36,3191,15,8,11,4,17.3,13.3,10.9,24.2,120,214,187,7,0,0.42,0.23,0.31,0.49,0.31,0.38,0.65,0.68,23,-2.3,-2.9,86.2,97.3,75.4
Yoane Wissa,cd COD,FW,Brentford,27,1996,35,34,2919,19,4,19,0,18.5,18.5,2.6,21.1,60,67,154,5,0,0.59,0.12,0.59,0.57,0.08,0.57,0.71,0.65,23,0.5,1.4,83.4,97.1,56.7
Chris Wood,nz NZL,FW,Nott'ham Forest,32,1991,36,35,2959,20,3,17,3,13.4,11.0,2.6,13.6,14,42,94,1,0,0.61,0.09,0.52,0.41,0.08,0.34,0.7,0.42,23,6.6,0.4,82.2,97.2,50.1
Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,33,29,2597,15,6,15,0,8.6,8.6,7.7,16.4,112,144,161,4,0,0.52,0.21,0.52,0.3,0.27,0.3,0.73,0.57,21,6.4,-1.7,78.7,87.9,64.6
Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,34,34,2973,13,8,12,1,8.6,7.8,6.8,14.7,109,91,212,1,0,0.39,0.24,0.36,0.26,0.21,0.24,0.64,0.44,21,4.4,1.2,87.4,100.0,58.0
